id,name,photo,description,category,esposizione,fioritura,altezza,terreno,densità,vaso,disponibile,novità,utile_per,created_at,updated_at,price_cents,price_currency,nascondi
15,Achillea ageratum 'Moonwalker',,"Achillea dalle foglie ricce e incise con fiori gialli. 
Origine: ibrido orticolo.
",erbacee perenni,sole,estate,"media, cm. 70-80","leggero, ben drenato",7-10 piante/mq.,tondo cm.13 (1 L.),true,true,Farfalle e insetti; da taglio,2019-01-28 16:21:31 UTC,2021-01-05 16:08:34 UTC,500,EUR,false
17,Achillea clypeolata,,"Origine: Europa centrale.
Achillea non molto alta dalle belle foglie grigie e fiori gialli, molto luminosa.
",erbacee perenni,sole,tarda primavera-estate,"bassa, cm. 40-50","leggero, ben drenato",7-10 piante/mq.,tondo cm.13 (1 L.),true,true,Farfalle e insetti; da taglio,2019-01-28 16:34:34 UTC,2019-08-20 17:23:26 UTC,500,EUR,false
18,Achillea millefolium 'Cassis',,"Questa erbacea perenne, tipica di molti prati, è reperibile in numerose cultivar che ne esaltano le qualità.Fiori rosso porpora in questa varietà.
Origine: Asia, Europa, Nord America; varietà coltivata.
",erbacee perenni,sole,estate,"media, cm. 50-60","leggero, ben drenato",7-10 piante/mq.,tondo cm.13 (1 L.),true,false,Farfalle e insetti; da taglio,2019-01-28 16:51:02 UTC,2019-02-19 15:38:20 UTC,450,EUR,false
19,Achillea millefolium 'Cerise Queen',,"Questa erbacea perenne, tipica di prati asciutti, è reperibile in numerose cultivar che ne esaltano le qualità. Fioritura rosa cremisi in questa varietà.
Origine: Asia, Europa, Nord America; varietà coltivata.
",erbacee perenni,sole,estate,"media, cm. 60-70","leggero, ben drenato",7-10 piante/mq.,tondo cm.13 (1 L.),true,false,Farfalle e insetti; da taglio,2019-01-28 17:04:45 UTC,2021-01-21 16:00:54 UTC,500,EUR,false
20,Achillea millefolium 'Colorado',,"Questa erbacea perenne, tipica di molti prati, è reperibile in numerose cultivar che ne esaltano le qualità. In questa varietà fiori in diverse tonalità dal bianco al porpora. 
Origine: Asia, Europa, Nord America; varietà coltivata.

",erbacee perenni,sole,estate,"media, cm. 50-60","leggero, ben drenato",7-10 piante/mq.,tondo cm.13 (1 L.),true,true,Farfalle e insetti; da taglio,2019-01-28 17:07:59 UTC,2021-01-21 16:01:26 UTC,500,EUR,false
21,Achillea millefolium 'Lilac Beauty',,"Questa erbacea perenne, tipica di molti prati, è reperibile in numerose varietà che ne esaltano le qualità. 'Lilac beauty' è risultata una delle varietà migliori nel trial del Mt.Cuba Center negli Stati Uniti. Ha fiori rosa intenso, abbondanti e per lungo periodo.
Origine: Asia, Europa, Nord America; varietà coltivata.",erbacee perenni,sole,estate,"media, cm. 60-70","leggero, ben drenato",7-10 piante/mq.,tondo cm.13 (1 L.),true,false,Farfalle e insetti; da taglio,2019-01-28 17:10:30 UTC,2021-01-21 16:02:16 UTC,500,EUR,false
22,Achillea millefolium 'Summer Pastels',,"Questa erbacea perenne, tipica di molti prati, è reperibile in numerose cultivar che ne esaltano le qualità. Toni pastello di giallo, rosa, arancio in questa varietà.
Origine: Asia, Europa, Nord America; varietà coltivata.


",erbacee perenni,sole,estate,"media, cm. 60-70","leggero, ben drenato",7-10 piante/mq.,tondo cm.13 (1 L.),true,false,Farfalle e insetti; da taglio,2019-01-28 17:14:17 UTC,2021-01-21 16:02:51 UTC,500,EUR,false
23,Achillea millefolium 'Terracotta',,"Questa erbacea perenne, tipica di molti prati, è reperibile in numerose cultivar che ne esaltano le qualità. Varietà dai fiori nei toni dal giallo al terracotta.
Origine: Asia, Europa, Nord America; varietà coltivata.
",erbacee perenni,sole,estate,"media, cm. 90-100","leggero, ben drenato",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,Farfalle e insetti; da taglio,2019-01-28 17:18:44 UTC,2021-01-21 16:03:30 UTC,500,EUR,false
24,Achillea sibirica subsp. camtschatica 'Love Parade',,"Foglie divise, verde  intenso e fiori rosa illuminati dal centro di stami gialli.
Origine: Asia; varietà coltivata.
",erbacee perenni,sole,estate,"media, cm. 60-70","leggero, ben drenato, anche povero",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,Farfalle e insetti; da taglio,2019-01-28 17:31:22 UTC,2021-01-21 16:04:19 UTC,500,EUR,false
490,Acorus gramineus 'Ogon',,"Confusa spesso con una graminacea in realtà appartiene alla famiglia delle Acoraceae. Come il calamo aromatico è pianta rizomatosa, sempreverde, dal portamento elegante.
Origine: Estremo oriente",erbacee perenni,"ombra, mezz'ombra",estate,bassa cm. 40-50,"fresco, ricco di sostanza organica, anche umido",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,fogliame ornamentale,2019-02-17 16:22:17 UTC,2021-01-21 16:05:02 UTC,600,EUR,false
643,Acorus gramineus 'Variegatus',,"Confusa spesso con una graminacea in realtà appartiene alla famiglia delle Acoraceae. Come il calamo aromatico è pianta rizomatosa, sempreverde, dal portamento elegante.
Origine: Estremo oriente",erbacee perenni, mezz'ombra,estate,"bassa, cm. 40-50","fresco, ricco di sostanza organica, anche umido",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,"",2021-01-21 16:09:54 UTC,2021-01-21 16:09:54 UTC,600,EUR,false
